Date,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,SnowDepth
2017-10-17,51.17142857142857,44.271428571428565,65.21428571428572,33.925,0.0014285714285714286,5.214285714285714,14.8,17.975,
2017-10-18,58.8,46.61428571428571,72.74285714285715,42.599999999999994,0.0,4.828571428571428,10.98,42.0,
2017-10-19,62.88571428571428,52.82857142857143,71.84285714285714,47.65,0.0014285714285714286,5.057142857142857,12.8,30.0,
2017-10-20,65.28571428571429,56.98571428571428,74.11428571428571,41.875,0.0071428571428571435,5.471428571428571,12.6,23.45,
2017-10-21,65.71428571428571,55.65714285714286,77.8,41.525,0.005714285714285714,2.585714285714286,10.0,40.0,
2017-10-22,64.47142857142856,55.55714285714286,75.25714285714287,49.425,0.0071428571428571435,2.8,9.040000000000001,,
2017-10-23,65.87142857142858,57.84285714285715,73.9,60.275,0.0,3.9714285714285715,13.4,24.475,
2017-10-24,69.7,64.04285714285714,73.78571428571429,65.725,0.014285714285714285,10.657142857142857,22.160000000000004,31.725,
2017-10-25,63.857142857142854,59.214285714285715,70.75714285714285,55.224999999999994,0.12714285714285714,3.471428571428571,14.02,26.666666666666668,
2017-10-26,57.228571428571435,53.65714285714286,65.05714285714285,42.25,0.03142857142857143,5.871428571428571,14.819999999999999,22.25,
2017-10-27,54.357142857142854,47.714285714285715,62.685714285714276,38.175,0.008571428571428572,5.1,12.959999999999999,20.75,
2017-10-28,60.442857142857136,50.685714285714276,67.85714285714286,49.525000000000006,0.015714285714285715,5.9,15.819999999999999,26.225,
2017-10-29,63.44285714285714,56.99999999999999,67.34285714285714,61.5,0.060000000000000005,6.3,16.4,27.0,
2017-10-30,56.84285714285715,47.871428571428574,66.78571428571429,47.8,1.4842857142857144,9.671428571428573,24.78,38.25,
2017-10-31,53.057142857142864,47.77142857142858,59.300000000000004,35.025,0.025714285714285714,8.514285714285714,18.18,27.25,
