Date,call_count
2016-08-20,5300.0
2016-08-21,4517.0
2016-08-22,6924.0
2016-08-23,6774.0
2016-08-24,6398.0
2016-08-25,6416.0
2016-08-26,5656.0
2016-08-27,5166.0
2016-08-28,5032.0
2016-08-29,7052.0
2016-08-30,6694.0
2016-08-31,6727.0
2016-09-01,6209.0
2016-09-02,6058.0
2016-09-03,5591.0
2016-09-04,5203.0
2016-09-05,4680.0
2016-09-06,6986.0
2016-09-07,6765.0
2016-09-08,7159.0
2016-09-09,6770.0
2016-09-10,5632.0
2016-09-11,5388.0
2016-09-12,6906.0
2016-09-13,6830.0
2016-09-14,6643.0
2016-09-15,6937.0
2016-09-16,6450.0
2016-09-17,5673.0
2016-09-18,5133.0
2016-09-19,5674.0
2016-09-20,7143.0
2016-09-21,7431.0
2016-09-22,6850.0
2016-09-23,6200.0
2016-09-24,5337.0
2016-09-25,5132.0
2016-09-26,6348.0
2016-09-27,6482.0
2016-09-28,6305.0
2016-09-29,6028.0
2016-09-30,5561.0
2016-10-01,5123.0
2016-10-02,4684.0
2016-10-03,6110.0
2016-10-04,5924.0
2016-10-05,6405.0
2016-10-06,6393.0
2016-10-07,6032.0
2016-10-08,4978.0
2016-10-09,4253.0
2016-10-10,5552.0
2016-10-11,7762.0
2016-10-12,6228.0
2016-10-13,6529.0
2016-10-14,6868.0
2016-10-15,5119.0
2016-10-16,4475.0
2016-10-17,7463.0
2016-10-18,6936.0
2016-10-19,6209.0
2016-10-20,5870.0
2016-10-21,6196.0
2016-10-22,5833.0
2016-10-23,5869.0
2016-10-24,7738.0
2016-10-25,8862.0
2016-10-26,8898.0
2016-10-27,7961.0
2016-10-28,7091.0
2016-10-29,5920.0
2016-10-30,5346.0
2016-10-31,7443.0
2016-11-01,7211.0
2016-11-02,6944.0
2016-11-03,6622.0
2016-11-04,6484.0
2016-11-05,5532.0
2016-11-06,3360.0
2016-11-07,8577.0
2016-11-08,5333.0
2016-11-09,5441.0
2016-11-10,6366.0
2016-11-11,5768.0
2016-11-12,5882.0
2016-11-13,4463.0
2016-11-14,6928.0
2016-11-15,7123.0
2016-11-16,6900.0
2016-11-17,6670.0
2016-11-18,6563.0
2016-11-19,5351.0
2016-11-20,6188.0
2016-11-21,9382.0
2016-11-22,8118.0
2016-11-23,6260.0
2016-11-24,4018.0
2016-11-25,5044.0
2016-11-26,4571.0
2016-11-27,4421.0
2016-11-28,6996.0
2016-11-29,7053.0
2016-11-30,6980.0
2016-12-01,7215.0
2016-12-02,7106.0
2016-12-03,5656.0
2016-12-04,5476.0
2016-12-05,7153.0
2016-12-06,7403.0
2016-12-07,7313.0
2016-12-08,6844.0
2016-12-09,7966.0
2016-12-10,6349.0
2016-12-11,5918.0
2016-12-12,7117.0
2016-12-13,7257.0
2016-12-14,7131.0
2016-12-15,9220.0
2016-12-16,9593.0
2016-12-17,6017.0
2016-12-18,5310.0
2016-12-19,7740.0
2016-12-20,8042.0
2016-12-21,7096.0
2016-12-22,6296.0
2016-12-23,5484.0
2016-12-24,3945.0
2016-12-25,3545.0
2016-12-26,4111.0
2016-12-27,6171.0
2016-12-28,6778.0
2016-12-29,6228.0
2016-12-30,5999.0
2016-12-31,4180.0
2017-01-01,4253.0
2017-01-02,4189.0
2017-01-03,6962.0
2017-01-04,7148.0
2017-01-05,7532.0
2017-01-06,6405.0
2017-01-07,5730.0
2017-01-08,6568.0
2017-01-09,9774.0
2017-01-10,8779.0
2017-01-11,6664.0
2017-01-12,6794.0
2017-01-13,6657.0
2017-01-14,5461.0
2017-01-15,4773.0
2017-01-16,5762.0
2017-01-17,6847.0
2017-01-18,6735.0
2017-01-19,7303.0
2017-01-20,6341.0
2017-01-21,5245.0
2017-01-22,5061.0
2017-01-23,7842.0
2017-01-24,8035.0
2017-01-25,7689.0
2017-01-26,6875.0
2017-01-27,7011.0
2017-01-28,5836.0
2017-01-29,5050.0
2017-01-30,7212.0
2017-01-31,7049.0
2017-02-01,7512.0
2017-02-02,6918.0
2017-02-03,6624.0
2017-02-04,5397.0
2017-02-05,4847.0
2017-02-06,6989.0
2017-02-07,6596.0
2017-02-08,6506.0
2017-02-09,5810.0
2017-02-10,7918.0
2017-02-11,5462.0
2017-02-12,4965.0
2017-02-13,7827.0
2017-02-14,6685.0
2017-02-15,6996.0
2017-02-16,7125.0
2017-02-17,6597.0
2017-02-18,5120.0
2017-02-19,4878.0
